Size, Type, Time
100, "Sequential", 0.000016
100, "Parallel", 0.010044
100, "Built-in", 0.000018
100, "Sequential", 0.000015
100, "Parallel", 0.008325
100, "Built-in", 0.000018
100, "Sequential", 0.000015
100, "Parallel", 0.008384
100, "Built-in", 0.000017
100, "Sequential", 0.000015
100, "Parallel", 0.009126
100, "Built-in", 0.000017
100, "Sequential", 0.000016
100, "Parallel", 0.009619
100, "Built-in", 0.000017
1000, "Sequential", 0.000213
1000, "Parallel", 0.027443
1000, "Built-in", 0.000341
1000, "Sequential", 0.000212
1000, "Parallel", 0.027471
1000, "Built-in", 0.000292
1000, "Sequential", 0.000222
1000, "Parallel", 0.025158
1000, "Built-in", 0.000281
1000, "Sequential", 0.000213
1000, "Parallel", 0.024907
1000, "Built-in", 0.000282
1000, "Sequential", 0.000213
1000, "Parallel", 0.024689
1000, "Built-in", 0.000289
10000, "Sequential", 0.002821
10000, "Parallel", 0.067853
10000, "Built-in", 0.002795
10000, "Sequential", 0.003044
10000, "Parallel", 0.063800
10000, "Built-in", 0.002801
10000, "Sequential", 0.003003
10000, "Parallel", 0.063013
10000, "Built-in", 0.002784
10000, "Sequential", 0.003087
10000, "Parallel", 0.050296
10000, "Built-in", 0.002898
10000, "Sequential", 0.003027
10000, "Parallel", 0.063631
10000, "Built-in", 0.002773
100000, "Sequential", 0.033629
100000, "Parallel", 0.090199
100000, "Built-in", 0.033967
100000, "Sequential", 0.033114
100000, "Parallel", 0.097217
100000, "Built-in", 0.035287
100000, "Sequential", 0.033092
100000, "Parallel", 0.076251
100000, "Built-in", 0.033958
100000, "Sequential", 0.033116
100000, "Parallel", 0.088619
100000, "Built-in", 0.033677
100000, "Sequential", 0.033135
100000, "Parallel", 0.093649
100000, "Built-in", 0.035695
250000, "Sequential", 0.093698
250000, "Parallel", 0.137228
250000, "Built-in", 0.090427
250000, "Sequential", 0.093751
250000, "Parallel", 0.135567
250000, "Built-in", 0.090339
250000, "Sequential", 0.093327
250000, "Parallel", 0.137096
250000, "Built-in", 0.090100
250000, "Sequential", 0.091510
250000, "Parallel", 0.118744
250000, "Built-in", 0.090324
250000, "Sequential", 0.091451
250000, "Parallel", 0.116359
250000, "Built-in", 0.090373
500000, "Sequential", 0.188616
500000, "Parallel", 0.215759
500000, "Built-in", 0.190277
500000, "Sequential", 0.197497
500000, "Parallel", 0.211681
500000, "Built-in", 0.190300
500000, "Sequential", 0.189282
500000, "Parallel", 0.214768
500000, "Built-in", 0.198672
500000, "Sequential", 0.189257
500000, "Parallel", 0.227045
500000, "Built-in", 0.190321
500000, "Sequential", 0.191155
500000, "Parallel", 0.227039
500000, "Built-in", 0.190184
750000, "Sequential", 0.287879
750000, "Parallel", 0.308953
750000, "Built-in", 0.294631
750000, "Sequential", 0.298909
750000, "Parallel", 0.311520
750000, "Built-in", 0.294320
750000, "Sequential", 0.292719
750000, "Parallel", 0.307312
750000, "Built-in", 0.295828
750000, "Sequential", 0.315727
750000, "Parallel", 0.290025
750000, "Built-in", 0.294342
750000, "Sequential", 0.300273
750000, "Parallel", 0.297479
750000, "Built-in", 0.294468
1000000, "Sequential", 0.398843
1000000, "Parallel", 0.380205
1000000, "Built-in", 0.401365
1000000, "Sequential", 0.405303
1000000, "Parallel", 0.394761
1000000, "Built-in", 0.418082
1000000, "Sequential", 0.400734
1000000, "Parallel", 0.401373
1000000, "Built-in", 0.400948
1000000, "Sequential", 0.402705
1000000, "Parallel", 0.389215
1000000, "Built-in", 0.401083
1000000, "Sequential", 0.404499
1000000, "Parallel", 0.377761
1000000, "Built-in", 0.402395
