Size, Type, Time
100, "Sequential", 0.000010
100, "Parallel", 0.018448
100, "Built-in", 0.000013
100, "Sequential", 0.000010
100, "Parallel", 0.010069
100, "Built-in", 0.000012
100, "Sequential", 0.000010
100, "Parallel", 0.003771
100, "Built-in", 0.000013
100, "Sequential", 0.000010
100, "Parallel", 0.016250
100, "Built-in", 0.000017
100, "Sequential", 0.000011
100, "Parallel", 0.019127
100, "Built-in", 0.000013
100, "Sequential", 0.000011
100, "Parallel", 0.023113
100, "Built-in", 0.000013
100, "Sequential", 0.000014
100, "Parallel", 0.009038
100, "Built-in", 0.000013
100, "Sequential", 0.000013
100, "Parallel", 0.021438
100, "Built-in", 0.000013
100, "Sequential", 0.000012
100, "Parallel", 0.004077
100, "Built-in", 0.000012
100, "Sequential", 0.000010
100, "Parallel", 0.004455
100, "Built-in", 0.000011
100, "Sequential", 0.000013
100, "Parallel", 0.003967
100, "Built-in", 0.000012
100, "Sequential", 0.000013
100, "Parallel", 0.022482
100, "Built-in", 0.000013
100, "Sequential", 0.000013
100, "Parallel", 0.006232
100, "Built-in", 0.000013
100, "Sequential", 0.000013
100, "Parallel", 0.006308
100, "Built-in", 0.000013
100, "Sequential", 0.000011
100, "Parallel", 0.020531
100, "Built-in", 0.000013
100, "Sequential", 0.000012
100, "Parallel", 0.008291
100, "Built-in", 0.000012
100, "Sequential", 0.000013
100, "Parallel", 0.004856
100, "Built-in", 0.000012
100, "Sequential", 0.000012
100, "Parallel", 0.019351
100, "Built-in", 0.000016
100, "Sequential", 0.000011
100, "Parallel", 0.021715
100, "Built-in", 0.000013
100, "Sequential", 0.000010
100, "Parallel", 0.004508
100, "Built-in", 0.000013
100, "Sequential", 0.000013
100, "Parallel", 0.004013
100, "Built-in", 0.000013
100, "Sequential", 0.000012
100, "Parallel", 0.004011
100, "Built-in", 0.000013
100, "Sequential", 0.000012
100, "Parallel", 0.005870
100, "Built-in", 0.000013
100, "Sequential", 0.000011
100, "Parallel", 0.018165
100, "Built-in", 0.000013
100, "Sequential", 0.000011
100, "Parallel", 0.004241
100, "Built-in", 0.000012
100, "Sequential", 0.000011
100, "Parallel", 0.004061
100, "Built-in", 0.000013
100, "Sequential", 0.000011
100, "Parallel", 0.003925
100, "Built-in", 0.000012
100, "Sequential", 0.000013
100, "Parallel", 0.017994
100, "Built-in", 0.000017
100, "Sequential", 0.000011
100, "Parallel", 0.004741
100, "Built-in", 0.000016
100, "Sequential", 0.000013
100, "Parallel", 0.007248
100, "Built-in", 0.000012
1000, "Sequential", 0.000153
1000, "Parallel", 0.027474
1000, "Built-in", 0.000193
1000, "Sequential", 0.000149
1000, "Parallel", 0.059193
1000, "Built-in", 0.000191
1000, "Sequential", 0.000161
1000, "Parallel", 0.047284
1000, "Built-in", 0.000189
1000, "Sequential", 0.000149
1000, "Parallel", 0.061027
